Source,Target
Lila,Lila
Nunzia Cerullo,Nunzia Cerullo
Nunzia Cerullo,la maestra
La Oliviero,La Oliviero
Nunzia,Nunzia
Cerullo,Cerullo
Cerullo,Cerullo
Lila,Lila
Lila,la maestra
Lila,Lila
La Oliviero,La Oliviero
La Oliviero,la signora Cerullo
figlia,figlia
la maestra,la maestra
Lila,Lila
la signora Cerullo,la signora Cerullo
Nunzia,Nunzia
la maestra,la maestra
la maestra,Lila
Cerullo,Cerullo
Cerullo,Cerullo
Rino,Rino
Rino,la bambina
Rino,Rino
pers-name,pers-name
sorella,sorella
Lila,Lila
Lila,Lila
la maestra,la maestra
mio padre,mio padre
mia madre,mia madre
mio padre,mio padre
Lenuccia,Lenuccia
la maestra,la maestra
Greco,Greco
La Oliviero,La Oliviero
mia madre,mia madre
la signora Cerullo,la maestra Oliviero
Lila,Lila
Lila,Lila
quella bambina,quella bambina
