Id,Label,Type,Class
Lila,Lila,Character,Primary Character
la maestra,la maestra,Character,School
Lila,Lila,Character,Primary Character
Marisa Sarratore,Marisa Sarratore,Character,Sarratore Family
Carmen Peluso,Carmen Peluso,Character,Peluso Family
me,me,Character,Primary Character
Lila,Lila,Character,Primary Character
la Oliviero,la Oliviero,Character,School
lei,lei,Character,Primary Character
Sarratore,Sarratore,Character,Sarratore Family
Peluso,Peluso,Character,Peluso Family
Lila,Lila,Character,Primary Character
Oliviero,Oliviero,Character,School
Lila,Lila,Character,Primary Character
Cerullo,Cerullo,Character,Cerullo Family
Greco,Greco,Character,Greco Family
Cerullo,Cerullo,Character,Cerullo Family
Sarratore,Sarratore,Character,Sarratore Family
Cerullo,Cerullo,Character,Cerullo Family
Peluso,Peluso,Character,Peluso Family
Lila,Lila,Character,Primary Character
Alla Oliviero,Alla Oliviero,Character,School
Lila,Lila,Character,Primary Character
me,me,Character,Primary Character
Io,Io,Character,Primary Character
Lila,Lila,Character,Primary Character
La maestra,La maestra,Character,School
Lila,Lila,Character,Primary Character
la maestra,la maestra,Character,School
Lila,Lila,Character,Primary Character
Enzo Scanno,Enzo Scanno,Character,Scanno Family
Nino Sarratore,Nino Sarratore,Character,Sarratore Family
Marisa,Marisa,Character,Sarratore Family
Enzo,Enzo,Character,Scanno Family
il maestro Ferraro,il maestro Ferraro,Character,School
Enzo,Enzo,Character,Scanno Family
Nino,Nino,Character,Sarratore Family
Alfonso Carracci,Alfonso Carracci,Character,Carracci Family
don Achille,don Achille,Character,Carracci Family
Nino,Nino,Character,Sarratore Family
la Oliviero,la Oliviero,Character,School
Ferraro,Ferraro,Character,School
Carracci,Carracci,Character,Carracci Family
Alfonso Carracci,Alfonso Carracci,Character,Carracci Family
Nino Sarratore,Nino Sarratore,Character,Sarratore Family
Lila,Lila,Character,Primary Character
Alfonso,Alfonso,Character,Carracci Family
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Enzo Scanno,Enzo Scanno,Character,Scanno Family
me,me,Character,Primary Character
Lila,Lila,Character,Primary Character
Enzo,Enzo,Character,Scanno Family
