Source,Target
Lila,la maestra
la maestra,Lila
Marisa Sarratore,Carmen Peluso
Marisa Sarratore,me
me,Lila
Lila,la Oliviero
la Oliviero
lei,Sarratore
Sarratore,Peluso
Peluso,Lila
Lila,Oliviero
Oliviero,Lila
Lila,Cerullo
Cerullo,Greco
Greco,Cerullo
Cerullo,Sarratore
Sarratore,Cerullo
Cerullo,Peluso
Peluso,Lila
Lila,Alla Oliviero
Alla Oliviero,Lila
Lila,me
me,Io
Io,Lila
Lila,La maestra
la maestra,Lila
Lila,Enzo Scanno
Enzo Scanno,Nino Sarratore
Nino Sarratore,Marisa
Marisa,Enzo
Enzo,il maestro Ferraro
il maestro Ferraro,Enzo
Enzo,Nino
Nino,Alfonso Carracci
Alfonso Carracci,don Achille
don Achille,Nino
Nino,la Oliviero
la Oliviero,Ferraro
Ferraro,Carracci
Carracci,Alfonso Carracci
Alfonso Carracci,Nino Sarratore
Nino Sarratore,Lila
Lila,Alfonso
Alfonso,Lila
Lila,Enzo Scanno
Enzo Scanno,me
me,Lila
Lila,Enzo
Enzo,Alfonso Carracci
Alfonso Carracci,Nino Sarratore
Nino Sarratore,Lila
Lila,Alfonso
Alfonso,Lila
Lila,Enzo
Enzo,Lila
Enzo,lei
lei,Enzo
Lila,figlio di don Achille
figlio di don Achille,don Achille
don Achille,Alfonso
Alfonso,Lila
Lila,Alfonso
Lila,me
me,Enzo
Enzo,Alfonso
Alfonso,Lila
Enzo,Alfonso
Stefano,falegname Peluso
suo padre,Lila
Lila,Rino
Rino,Enzo
Enzo,Stefano
Stefano,Rino
Stefano,zia Maria
zia Maria,Nunzia
Nunzia,Fernando Cerullo
Fernando Cerullo,Lila
Lila,Rino
Rino,don Achille
don Achille,io
io,Lila
io,Enzo
io,Enzo
Enzo,Lila
Lila,io
io,Lila
Lila,Enzo
Enzo,Lila
Lila,Rino
Rino,Lila
Enzo,Rino
Lila,me,
Lila,don Achille
don Achille,Lila
don Achille,Io
Io,Lila
Lila,don Achille
don Achille,mia madre
Nino Sarratore,Pino
Pino,Nino
Nino,Lui
Lui,Pino
Pino,Lila
Lila,a sua sorella
a sua sorella,Gigliola Spagnuolo
Gigliola Spagnuolo,Enzo
Enzo,Lila
Lila,Nicola
Nicola,Donato Sarratore
Donato Sarratore,Nino
Donato Sarratore,Lidia
Donato,mia madre
mia madre,la moglie
la moglie,Melina
Melina,il marito
il marito,Melina
Melina,Sarratore
Sarratore,Nino
Nino,Nicola
Nicola,Donato
Donato,Lidia Sarratore
Lidia Sarratore,Marisa
Marisa,Clelia
Clelia,Melina
Melina,Lila
Lila,Ada
Ada,Melina
Melina,Lidia Sarratore
Lidia Sarratore,Donato
Donato, don Nicola
don Nicola,Lila
Lila,Lidia
Lidia,Nino
Nino,mia madre
mia madre,Nino
Nino,Lila
Lila,Gigliola Spagnuolo
Gigliola Spagnuolo,Lila
Lila,Enzo
Enzo,Gigliola Spagnuolo
Gigliola Spagnuolo,Enzo
Enzo,Io
Enzo,Lila
Lila,Enzo
Enzo,Gigliola
Gigliola,La maestra
la maestra,mio padre
mio padre,dalla maestra
dalla maestra,mia madre
La maestra,mio padre
mio padre,la maestra
la maestra,lei
lei,mia madre
mia madre,mio padre
mio padre,mia madre
mia madre,io
io,Lila
Lila,Nunzia Cerullo
Nunzia Cerullo,il padre
il padre,Rino
Rino,dalla maestra
dalla maestra,Nunzia
Nunzia,la Oliviero
la Oliviero,Lila
Lila,la Oliviero
la Oliviero,la madre di Lila
la madre di Lila,Nunzia
Nunzia,Lila
Lila,Enzo
Enzo,Alfonso
Alfonso,Stefano
Alfonso,Rino
Rino,don Achille
don Achille,Lila
Lila,io
io,lei
lei,don Achille
don Achille,Lila
Lila,Alfonso
Alfonso,Stefano
Alfonso,Pinuccia
Pinuccia,Lila
Lila,Maria
Maria,Alfonso
Alfonso,Lila
Lila,don Achille
don Achille,La figlia dello scarparo
La figlia dello scarparo,figlia grande di Greco
figlia grande di Greco,Don Achille
Don Achille,Lila
Lila,Don Achille
Don Achille, Lila
Lila,don Achille
don Achille,Lila
Lila,Alfonso
Alfonso,Stefano
Alfonso,Pinuccia
Alfonso,donna Maria
Maria,Don Achille
Don Achille,Maria
Maria,Don Achille
Don Achille,Lila
