Id,Label,Type,Class
maestra,maestra,Character,School
La maestra,La maestra,Character,School
Gigliola Spagnuolo,Gigliola Spagnuolo,Character,Spagnuolo Family
Io,Io,Character,Primary Character
La maestra,La maestra,Character,School
Lila,Lila,Character,Primary Character
don Achille,don Achille,Character,Carracci Family
La Oliviero,La Oliviero,Character,School
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Oliviero,Oliviero,Character,School
don Achille,don Achille,Character,Carracci Family
io,io,Character,Primary Character
Lila,Lila,Character,Primary Character
Il padre,Il padre,Character,Cerullo Family
Rino,Rino,Character,Cerullo Family
lui,lui,Character,Cerullo Family
il padre,il padre,Character,Cerullo Family
Rino,Rino,Character,Cerullo Family
il padre,il padre,Character,Cerullo Family
la madre,la madre,Character,Cerullo Family
Rino,Rino,Character,Cerullo Family
ragazzo,ragazzo,Character,Cerullo Family
il padre,il padre,Character,Cerullo Family
Fernando Cerullo,Fernando Cerullo,Character,Cerullo Family
Io,Io,Character,Cerullo Family
Rino,Rino,Character,Cerullo Family
tu,tu,Character,Cerullo Family
Rino,Rino,Character,Cerullo Family
Lila,Lila,Character,Primary Character
Rino,Rino,Character,Cerullo Family
tua sorella,tua sorella,Character,Primary Character
Rino,Rino,Character,Cerullo Family
al padre,al padre,Character,Cerullo Family
Il ragazzo,Il ragazzo,Character,Cerullo Family
Lila,Lila,Character,Primary Character
mia madre,mia madre,Character,Greco Family
suo padre,suo padre,Character,Cerullo Family
sua figlia,sua figlia,Character,Primary Character
Fernando,Fernando,Character,Cerullo Family
Nunzia,Nunzia,Character,Cerullo Family
il fratello,il fratello,Character,Cerullo Family
il padre,il padre,Character,Cerullo Family
Lila,Lila,Character,Primary Character
Rino,Rino,Character,Cerullo Family
lui,lui,Character,Cerullo Family
il fratello,il fratello,Character,Cerullo Family
suo fratello,suo fratello,Character,Cerullo Family
Lila,Lila,Character,Primary Character
lei,lei,Character,Primary Character
alla maestra,alla maestra,Character,School
Gigliola,Gigliola,Character,Spagnuolo Family
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Cerullo,Cerullo,Character,Primary Character
la madre di Lila,la madre di Lila,Character,Cerullo Family
Lila,Lila,Character,Primary Character
io,io,Character,Primary Character
lei,lei,Character,School
Greco,Greco,Character,Primary Character
Cerullo,Cerullo,Character,Primary Character
te,te,Character,Primary Character
La maestra Oliviero,La maestra Oliviero,Character,School
Lila,Lila,Character,Primary Character
la Oliviero,la Oliviero,Character,School
Lila,Lila,Character,Primary Character
Gigliola,Gigliola,Character,Spagnuolo Family
me,me,Character,Primary Character
Gigliola,Gigliola,Character,Spagnuolo Family
io,io,Character,Primary Character
Lila,Lila,Character,Others
la Oliviero,la Oliviero,Character,School
Lila,Lila,Character,Primary Character
la Oliviero,la Oliviero,Character,School
Lila,Lila,Character,Primary Character
me stessa,me stessa,Character,Primary Character
mio padre,mio padre,Character,Greco Family
alla maestra,alla maestra,Character,School
Lila,Lila,Character,Primary Character
mia madre,mia madre,Character,Greco Family
mio padre,mio padre,Character,Greco Family
mia madre,mia madre,Character,Greco Family
Lila,Lila,Character,Primary Character
Rino,Rino,Character,Cerullo Family
Nino Sarratore,Nino Sarratore,Character,Sarratore Family
Gigliola Spagnuolo,Gigliola Spagnuolo,Character,Spagnuolo Family
Lei,Lei,Character,Spagnuolo Family
Nino,Nino,Character,Sarratore Family
Marisa,Marisa,Character,Sarratore Family
mia madre,mia madre,Character,Greco Family
mia madre,mia madre,Character,Greco Family
Lila,Lila,Character,Primary Character
Rino,Rino,Character,Cerullo Family
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
io,io,Character,Primary Character
don Achille,don Achille,Character,Carracci Family
don Nicola,don Nicola,Character,Scanno Family
Enzo,Enzo,Character,Scanno Family
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Mia madre,Mia madre,Character,Greco Family
mia madre,mia madre,Character,Greco Family
mio padre,mio padre,Character,Greco Family
Lui,Lui,Character,Greco Family
Lila,Lila,Character,Primary Character
Carmela Peluso,Carmela Peluso,Character,Peluso Family
io,io,Character,Primary Character
Lila,Lila,Character,Primary Character
Carmela,Carmela,Character,Peluso Family
Lila,Lila,Character,Primary Character
